scenario_label,n,gain_mean,gain_mean_ci95,gain_median,gain_median_ci95,gain_iqm,gain_iqm_ci95
nominal->mass_0p5,5,143.2668775861589,212.8850572057851,312.0307405054108,288.7123443354812,203.4185433143413,146.34581210650222
nominal->mass_0p6,5,-7.709907475307409,305.3057844551381,139.41935415392396,357.3560123190284,50.26949678442512,304.726283246413
nominal->mass_0p7,5,8.10819652562841,326.7160587384779,82.59313017573322,403.55706970039944,74.75860880104499,274.3336002142337
nominal->mass_0p8,5,4.592902412560306,424.9314527326324,73.80942405157944,628.0970077619415,-6.454497109633091,426.36351254361136
nominal->mass_0p9,5,102.58721047456348,268.31259024262397,188.98958296757706,147.4041726217561,111.41929622572054,165.8181460312915
nominal->mass_1p1,5,13.208569389155764,245.01166653520343,259.50779151804795,275.47026913494966,29.586143414082017,173.2015331665911
nominal->mass_1p3,5,64.60679976318325,312.98644470681546,323.08600936293374,313.4293856686035,147.71066862059556,73.90478722742643
nominal->mass_1p5,5,-78.0339619849311,334.913492740779,-27.59774351834981,460.3398912351878,-44.53603525985758,297.3609491213445
nominal->mass_1p7,5,-55.31258476598914,207.56070429936844,57.24944993510044,249.73502605085505,11.939787352555413,161.13285507094193
nominal->mass_2p0,5,104.99277130376758,296.8054481907282,198.23606344086107,164.174923728381,132.01117946416252,316.2766676369382
